,id_left,text_left,id_right,text_right,,,label
57,D-58,The crystals were square with Xs on the surface.,EM_45c,Because we measured them.,,,0
58,D-59,The crystals were square with Xs on the surface.,EM_45c,Because it was so shiny.,,,0
59,D-60,The crystals were square with Xs on the surface.,EM_45c,They were powdery.,,,0
60,D-61,The crystals were square with Xs on the surface.,EM_45c,Because there were little shining things inside and I knew it was salt.,,,0
61,D-62,The crystals were square with Xs on the surface.,EM_45c,Because we learned it because it was white that is how we knew.,,,0
62,D-63,The crystals were square with Xs on the surface.,EM_45c,I would know that the crystals were salt is the way how it looks.,,,0
63,D-64,The crystals were square with Xs on the surface.,EM_45c,We poured the water we left it alone for 2 days and they dry up.,,,0
64,D-65,The crystals were square with Xs on the surface.,EM_45c,After the water dried we noticed it was Kosher salt.,,,0
65,D-66,The crystals were square with Xs on the surface.,EM_45c,By breaking the rock.,,,0
66,D-67,The crystals were square with Xs on the surface.,EM_45c,Because it tastes like salt.,,,0
67,D-68,The crystals were square with Xs on the surface.,EM_45c,Because crystals are a kind of salt.,,,0
68,D-69,The crystals were square with Xs on the surface.,EM_45c,I looked at them really closely and they looked like crystals and diamonds.,,,1
69,D-70,The crystals were square with Xs on the surface.,EM_45c,Because we looked in the magnifying glass.,,,0
70,D-71,The crystals were square with Xs on the surface.,EM_45c,I knew the crystals were salt because of the patterns and shapes.,,,1
71,D-72,The crystals were square with Xs on the surface.,EM_45c,I looked at the chart.,,,0
72,D-73,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Topaz is harder because it would be all no on the chart.,,,0
73,D-74,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Topaz is harder. Because topaz is the hardest birthstone.,,,0
74,D-75,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is hard because you cannot scratch it with penny, fingernail or a paperclip.",,,1
75,D-76,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,M to Z is harder than mineral X and Y.,,,0
76,D-77,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,It is harder than X Y Z because we read about it this morning.,,,0
77,D-78,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,It is harder than them.,,,0
78,D-79,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"It is harder than minerals X, Y, and Z because it cannot be scratched by either one.",,,1
79,D-80,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,A topaz is compared to Z because it cannot be scratched with 2 thirds things. Y is all the opposite of topaz. X cannot be scratched with one third of a topaz cannot be scratched.,,,0
80,D-81,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,The Topaz is the first hardest mineral out of the 3 on the chart.,,,0
81,D-82,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is harder than all of them. It is just barely harder than Z, way harder than Y, and pretty harder than X.",,,0
82,D-83,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is harder than X, Y, and Z because Topaz cannot be scratched by a fingernail, a penny, or a paperclip so it is the hardest.",,,1
83,D-84,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Tied with mineral Y because they are both yes, yes, and yes.",,,0
84,D-85,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz would be all no's compared the minerals X, Y, and Z because topaz is one of the scratch free minerals.",,,0
85,D-86,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is harder than minerals X, Y, and Z because Topaz cannot be scratched by a fingernail, penny or a paperclip. So it is harder.",,,1
86,D-87,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"It is a soft rock Z, I think it is the same as Y because they can both be scratched by everything. It is little bit hard to X.",,,0
87,D-88,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is harder than X, Y, and Z because it cannot be scratched by a fingernail, a laser, or a paperclip.",,,1
88,D-89,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Topaz is the hardest out of all minerals because it did not get scratched by any tool.,,,1
89,D-90,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Like steel if you rub them and if it does not scratch.,,,0
90,D-91,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,It is harder than all of the other minerals because it cannot get scratched by none of the scratching materials and all the other minerals can get scratched at least one time.,,,1
91,D-92,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"It is harder than X, Y, Z. I know it is harder than X, Y, and Z because nothing can scratch it.",,,1
92,D-93,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Minerals X has 2 of them in a paperclip and penny. And the Y, Z and the minerals Y is the hardest in it.",,,0
93,D-94,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,It is the hardest because it cannot be scratched by any of them and the others can be scratched with at least one of the minerals.,,,1
94,D-95,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Mineral Z can scratch topaz because mineral Z cannot be scratched by a penny or a fingernail but it can get scratched by a paperclip.,,,0
95,D-96,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"It is so strong that minerals X, Y, Z cannot break it.",,,0
96,D-97,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,I know because when you break a rock that is when you know it is hard or not hard.,,,0
97,D-98,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"How it is compared to X, Y, and Z is that the finger and the penny cannot scratch mineral X and Z.",,,0
98,D-99,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,I know it is Z because it has one yes and 2 no's.,,,0
99,D-100,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Mineral Z cannot be scratched by penny, fingernail, and paperclip. Topaz cannot be scratched by anything.",,,0
100,D-101,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz has to have X, Y, Z as minerals.",,,0
101,D-102,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Because it is harder.,,,0
102,D-103,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,I know because a fingernail cannot be scratched the most.,,,0
103,D-104,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz is the hardest because none of them can scratch it but at least one them can scratch X, Y, Z.",,,1
104,D-105,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Topaz would be the hardest because none of the tools could scratch it and at least one tool.,,,1
105,D-106,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X Y Z.,,,1
106,D-107,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,It would be the hardest because none of the tools could scratch it.,,,1
107,D-108,Topaz would be the hardest of the 4 minerals because none of the tools could scratch topaz and at least one tool could scratch each of the other minerals.,EM_16b,"Topaz would be hardest because none of the tools could scratch it and at least one tool could scratch X, Y, and Z.",,,1
108,D-109,Rub the minerals together and see which one scratches the other.,EM_21a,She can do a scratch test and see which one is harder.,,,0
109,D-110,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch one against the other.,,,1
110,D-111,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together.,,,0
111,D-112,Rub the minerals together and see which one scratches the other.,EM_21a,By scratching them.,,,0
112,D-113,Rub the minerals together and see which one scratches the other.,EM_21a,Rubbing them together.,,,0
113,D-114,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch them together.,,,1
114,D-115,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch them against each other.,,,1
115,D-116,Rub the minerals together and see which one scratches the other.,EM_21a,Use her fingernail.,,,0
116,D-117,Rub the minerals together and see which one scratches the other.,EM_21a,A rock scratch.,,,0
117,D-118,Rub the minerals together and see which one scratches the other.,EM_21a,Use your fingernail.,,,0
118,D-119,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch the 2 together.,,,1
119,D-120,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch one against the other.,,,1
120,D-121,Rub the minerals together and see which one scratches the other.,EM_21a,She can use her nail and penny.,,,0
121,D-122,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch them together.,,,1
122,D-123,Rub the minerals together and see which one scratches the other.,EM_21a,Georgia could rub them together.,,,0
123,D-124,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch them together.,,,1
124,D-125,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch the minerals together.,,,1
125,D-126,Rub the minerals together and see which one scratches the other.,EM_21a,From scratching with another minerals.,,,0
126,D-127,Rub the minerals together and see which one scratches the other.,EM_21a,She can scratch them together and the one with the mark is the soft one.,,,1
127,D-128,Rub the minerals together and see which one scratches the other.,EM_21a,She can scratch it together and look and see which leave a scratch.,,,1
128,D-129,Rub the minerals together and see which one scratches the other.,EM_21a,She could rub them together.,,,0
129,D-130,Rub the minerals together and see which one scratches the other.,EM_21a,Georgia could rub them together.,,,1
130,D-131,Rub the minerals together and see which one scratches the other.,EM_21a,She could rub them together.,,,0
131,D-132,Rub the minerals together and see which one scratches the other.,EM_21a,Scratch the 2 rocks together.,,,1
132,D-133,Rub the minerals together and see which one scratches the other.,EM_21a,By rubbing them together and touching them.,,,0
133,D-134,Rub the minerals together and see which one scratches the other.,EM_21a,With her nail.,,,0
134,D-135,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together.,,,1
135,D-136,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together.,,,0
136,D-137,Rub the minerals together and see which one scratches the other.,EM_21a,Rubbing them together.,,,0
137,D-138,Rub the minerals together and see which one scratches the other.,EM_21a,"She can rub them together and switch, if there is a mark on it and it goes away, it is hard.",,,1
138,D-139,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together to see if scratch the other.,,,1
139,D-140,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together.,,,0
140,D-141,Rub the minerals together and see which one scratches the other.,EM_21a,"Rub them together, see which will scratch the other.",,,1
141,D-142,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together and see if you can scratch it harder.,,,1
142,D-143,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them together and see if one scratches the other.,,,1
143,D-144,Rub the minerals together and see which one scratches the other.,EM_21a,Rub them to see if one scratches the other.,,,1
144,D-145,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Because whichever one scratches is the hardest.,,,1
145,D-146,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Which one makes a deeper scratch.,,,1
146,D-147,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The other one that did not break is the hardest.,,,0
147,D-148,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,See which one scratched the other.,,,1
148,D-149,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,"One will scratch the other one. She should rub the scratch, too. That way she knows if it is a scratch or dust from the other mineral.",,,1
149,D-150,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,First you take the black mineral and rub it against the brown mineral. Then see if you can wipe off the mark and if you can the brown one is harder and if you cannot the black one is harder.,,,1
150,D-151,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,"She can rub the scratch. If it goes away, the black one is harder. If it stays there, the brown one is harder.",,,1
151,D-152,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one with scratches or deeper scratches is weaker and the other rock is harder.,,,1
152,D-153,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,When she rubs them together and the other one breaks the one that did not break is the hardest.,,,0
153,D-154,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Because it will break.,,,0
154,D-155,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Scratch test.,,,0
155,D-156,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The harder mineral will scratch the color off of the softer one.,,,1
156,D-157,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one that make a mark. She should also see if stuff comes off when she scratches it.,,,1
157,D-158,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,If she does scratch one on the other and one gets a mark that you can to rub off. Then you know the other one is harder.,,,1
158,D-159,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,A penny.,,,0
159,D-160,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one with a scratch.,,,0
160,D-161,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The mineral with no scratch is the hardest because the other one could not scratch it.,,,1
161,D-162,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one that scratches the other.,,,1
162,D-163,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Whichever one gets scratched is the softest.,,,1
163,D-164,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Whichever one got scratched.,,,0
164,D-165,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Scratch them together.,,,1
165,D-166,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Whichever one that has more scratches.,,,0
166,D-167,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Because maybe something will come off.,,,0
167,D-168,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one that does not break.,,,0
168,D-169,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,By rubbing them together whichever one the chalky stuff comes off of is the hardness.,,,0
169,D-170,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The skin of the saltiest will come off.,,,0
170,D-171,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one that does not have a scratch.,,,1
171,D-172,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one who resists is the hardest.,,,0
172,D-173,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,Because she can touch and see which is hard.,,,0
173,D-174,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,If you see a mark that does not mean it is the softest. If it is pushed in that means it is the softest and the harder one there is nothing.,,,1
174,D-175,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one with a scratch is not the hardest so the other mineral must be hardest.,,,1
175,D-176,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The one that crumbles the most.,,,0
176,D-177,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The harder mineral will leave a scratch on the less hard mineral.,,,1
177,D-178,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The harder will leave a scratch on the less hard mineral.,,,1
178,D-179,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The harder mineral will leave a scratch on the less hard mineral.,,,1
179,D-180,"The harder mineral will leave a scratch on the less hard mineral. If the black mineral is harder, the brown mineral will have a scratch.",EM_21b,The harder will leave a scratch on the other.,,,1
180,D-181,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"He should put a rock and vinegar into a vial and if the rock has calcite, the water will turn murky.",,,0
181,D-182,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Cold pour in cup.,,,0
182,D-183,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"Put part of the broken rock in the cup. Then add vinegar. If it starts bubbling a lot, it has calcite.",,,1
183,D-184,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"He should put a mock rock in a cup of vinegar, and if there is bubbles there is calcite.",,,1
184,D-185,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"Put the water in the vial and put the calcite in, if the water starts getting murky and bubbles float to the top there is calcite.",,,0
185,D-186,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Phil should first put the rock in a bowl of vinegar. If it bubbles a lot it is probably calcite. Next if he is still not sure he should pour the rock and vinegar into a dish and let it evaporate. He should look for needle like markings.,,,1
186,D-187,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"Phil should find a rock he thinks has calcite, and put it in a vial with vinegar in it. Then after a while he should pour the vinegar into the shallow dish. After that Phil should let it evaporate. Then Phil should look at what is inside the dish. If it has long, white, needles, then there probably is calcite in that rock.",,,0
187,D-188,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,First find calcite put it in a vial. Second put vinegar in and let it sit. Third pour out the vinegar.,,,0
188,D-189,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,He should put the rock or mineral in a cup and pour vinegar and if it bubble then it calcite.,,,1
189,D-190,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Because vinegar is cold acid is very into now.,,,0
190,D-191,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Phil should put the rock in the vial. Then put vinegar in then look for a lot of bubble then put in cold acid in to wait for a few days.,,,1
191,D-192,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,He should put it in a vial with vinegar and then drop only the vinegar on later and when it is done there should be white crystals.,,,0
192,D-193,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,He would observe the calcite. Look for calcite in rocks. And then when you think you found it put it in the water.,,,0
193,D-194,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,He should put a rock in vinegar and look at it. If it bubbles it has calcite in it. That is what he should do.,,,1
194,D-195,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Put the rocks in a vial and see if they bubble.,,,0
195,D-196,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,He should put vinegar in the vial and put then rock inside and look for bubbles.,,,1
196,D-197,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Phil should put the rock in the tube. Then put the vinegar in the tube cover the rocks and it should bubble.,,,1
197,D-198,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,If he has a vial then he should get the rock or mineral in the vial and pour vinegar in the vial to see if he has vials.,,,0
198,D-199,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Put some vinegar in a vial but first put the rock inside then you will see bubbles going so so fast and you have to wait about 2 minutes and you will see it.,,,1
199,D-200,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,"He should pour the acid on it, then if it has bubbles all over it is calcite.",,,1
200,D-201,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Put the cold acid and wait for it react.,,,0
201,D-202,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Get a rock and put it in a vial and pour acid into the vial. Wait a while and when a while is done look in the evaporating dish with your hand lens.,,,0
202,D-203,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,Phil should pour the cold acid on the rock and if it fizzes it has calcite in it.,,,1
203,D-204,"Put acid on a rock. If the acid fizzes, Phil would know that the rock has calcite.",EM_43b,The color and the want was like. And he can see the hot or cold. And measure and feel it all. And it is stuff.,,,0
